,HBA,HBD,TPSA,dipole,excitation_energy_1,excitation_energy_2,excitation_energy_3,excitation_energy_4,homo_energy,homo_lumo_gap,logP,lumo_energy,melting_point,molecular_refractivity,oscillator_strength_1,oscillator_strength_2,oscillator_strength_3,oscillator_strength_4,pccdb_id,smiles
1685,0,0,0.0,0.31,5.298,5.873,6.009,6.195,-6.397,6.544,2.639,0.147,5.82,41.02,0.001,0.0415,0.0018,0.0024,7668,CCCc1ccccc1
1686,5,3,86.99,1.11,4.421,4.554,4.831,4.988,-5.78,4.816,1.37,-0.963,150.86,53.4,0.0703,0.2175,0.001,0.0002,4947,CCCOC(=O)c1cc(O)c(c(c1)O)O
1687,2,2,52.04,1.68,5.577,5.625,6.172,6.207,-6.223,8.052,1.475,1.829,82.6,31.56,0.0119,0.0086,0.0274,0.0035,273,NCCCCCN
1688,4,0,12.96,0.0,5.42,5.421,5.423,5.943,-5.891,7.872,-1.268,1.981,51.72,51.86,0.0,0.0,0.0,0.0,4101,C1N2CN3CN1CN(C2)C3
1689,6,4,112.65,2.14,5.407,5.657,6.25,6.307,-7.053,6.544,-0.851,-0.509,184.36,25.57,0.0067,0.017,0.0297,0.0136,336,OC(=N)N[C@H](C(=O)O)O
1690,3,2,57.53,4.67,5.253,5.427,5.845,5.95,-6.803,6.291,0.979,-0.512,108.54,43.84,0.0014,0.0636,0.0219,0.015,1303,OC(=O)[C@@](c1ccccc1)(O)C
1691,2,0,20.31,2.66,4.629,5.078,5.309,5.357,-5.777,5.459,1.27,-0.318,61.47,46.64,0.0186,0.1942,0.0025,0.0004,6096,O=C1Cc2c(N1C)cccc2
1692,5,2,83.83,1.71,5.709,5.725,6.589,6.822,-7.783,7.426,-0.828,-0.356,120.13,25.97,0.0007,0.0003,0.0052,0.0128,8088,OC(=O)COCC(=O)O
1693,3,2,57.53,3.58,3.636,4.071,4.496,4.548,-6.093,4.686,2.329,-1.407,145.7,60.36,0.009,0.1181,0.0952,0.0108,8572,Oc1ccc(c(c1)O)C(=O)c1ccccc1
1694,1,1,20.23,1.32,6.402,6.987,7.156,7.246,-7.061,8.898,2.439,1.837,-9.94,46.54,0.0152,0.0035,0.0008,0.0002,7957,OC(CC(C)C)CC(C)C
1695,5,4,89.79,5.88,5.33,5.613,5.796,6.057,-6.359,6.857,-0.745,0.498,94.56,51.6,0.003,0.0008,0.0121,0.0173,4678,OCCC/N=C(\[C@H](C(CO)(C)C)O)/O
